"signature_name","gene_id","gene_type","gene_name","weight"
"MHC-II_Liu","ENSG00000204257.15","protein_coding","HLA-DMA",NA
"MHC-II_Liu","ENSG00000242574.9","protein_coding","HLA-DMB",NA
"MHC-II_Liu","ENSG00000204252.14","protein_coding","HLA-DOA",NA
"MHC-II_Liu","ENSG00000241106.8","protein_coding","HLA-DOB",NA
"MHC-II_Liu","ENSG00000231389.8","protein_coding","HLA-DPA1",NA
"MHC-II_Liu","ENSG00000223865.11","protein_coding","HLA-DPB1",NA
"MHC-II_Liu","ENSG00000196735.13","protein_coding","HLA-DQA1",NA
"MHC-II_Liu","ENSG00000237541.4","protein_coding","HLA-DQA2",NA
"MHC-II_Liu","ENSG00000179344.17","protein_coding","HLA-DQB1",NA
"MHC-II_Liu","ENSG00000232629.9","protein_coding","HLA-DQB2",NA
"MHC-II_Liu","ENSG00000204287.14","protein_coding","HLA-DRA",NA
"MHC-II_Liu","ENSG00000196126.12","protein_coding","HLA-DRB1",NA
"MHC-II_Liu","ENSG00000198502.6","protein_coding","HLA-DRB5",NA
