"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"IPSOV_Shen","Cytokines","ENSG00000178522.15","protein_coding","AMBN",NA
"IPSOV_Shen","Cytokines","ENSG00000117407.17","protein_coding","ARTN",NA
"IPSOV_Shen","Cytokines","ENSG00000101200.5","protein_coding","AVP",NA
"IPSOV_Shen","Cytokines","ENSG00000130385.6","protein_coding","BMP15",NA
"IPSOV_Shen","Cytokines","ENSG00000125845.7","protein_coding","BMP2",NA
"IPSOV_Shen","Cytokines","ENSG00000101144.13","protein_coding","BMP7",NA
"IPSOV_Shen","Cytokines","ENSG00000116985.12","protein_coding","BMP8B",NA
"IPSOV_Shen","Cytokines","ENSG00000074842.8","protein_coding","MYDGF",NA
"IPSOV_Shen","Cytokines","ENSG00000181374.8","protein_coding","CCL13",NA
"IPSOV_Shen","Cytokines","ENSG00000275385.2","protein_coding","CCL18",NA
"IPSOV_Shen","Cytokines","ENSG00000241563.4","protein_coding","CORT",NA
"IPSOV_Shen","Cytokines","ENSG00000156234.8","protein_coding","CXCL13",NA
"IPSOV_Shen","Cytokines","ENSG00000138755.6","protein_coding","CXCL9",NA
"IPSOV_Shen","Cytokines","ENSG00000107984.10","protein_coding","DKK1",NA
"IPSOV_Shen","Cytokines","ENSG00000124882.4","protein_coding","EREG",NA
"IPSOV_Shen","Cytokines","ENSG00000164283.13","protein_coding","ESM1",NA
"IPSOV_Shen","Cytokines","ENSG00000102466.16","protein_coding","FGF14",NA
"IPSOV_Shen","Cytokines","ENSG00000156427.8","protein_coding","FGF18",NA
"IPSOV_Shen","Cytokines","ENSG00000140285.12","protein_coding","FGF7",NA
"IPSOV_Shen","Cytokines","ENSG00000102678.7","protein_coding","FGF9",NA
"IPSOV_Shen","Cytokines","ENSG00000135414.10","protein_coding","GDF11",NA
"IPSOV_Shen","Cytokines","ENSG00000118702.11","protein_coding","GHRH",NA
"IPSOV_Shen","Cytokines","ENSG00000166503.9","protein_coding","HDGFL3",NA
"IPSOV_Shen","Cytokines","ENSG00000019991.18","protein_coding","HGF",NA
"IPSOV_Shen","Cytokines","ENSG00000112115.7","protein_coding","IL17A",NA
"IPSOV_Shen","Cytokines","ENSG00000049323.16","protein_coding","LTBP1",NA
"IPSOV_Shen","Cytokines","ENSG00000240972.2","protein_coding","MIF",NA
"IPSOV_Shen","Cytokines","ENSG00000105835.13","protein_coding","NAMPT",NA
"IPSOV_Shen","Cytokines","ENSG00000197461.13","protein_coding","PDGFA",NA
"IPSOV_Shen","Cytokines","ENSG00000183395.5","protein_coding","PMCH",NA
"IPSOV_Shen","Cytokines","ENSG00000131096.11","protein_coding","PYY",NA
"IPSOV_Shen","Cytokines","ENSG00000169385.3","protein_coding","RNASE2",NA
"IPSOV_Shen","Cytokines","ENSG00000095539.15","protein_coding","SEMA4G",NA
"IPSOV_Shen","Cytokines","ENSG00000157005.4","protein_coding","SST",NA
"IPSOV_Shen","Cytokines","ENSG00000163235.16","protein_coding","TGFA",NA
"IPSOV_Shen","Cytokines","ENSG00000092969.12","protein_coding","TGFB2",NA
"IPSOV_Shen","Cytokines","ENSG00000120659.15","protein_coding","TNFSF11",NA
"IPSOV_Shen","Cytokines","ENSG00000170893.4","protein_coding","TRH",NA
