"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000105974.13","protein_coding","CAV1",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000099250.18","protein_coding","NRP1",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000135363.12","protein_coding","LMO2",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000078401.7","protein_coding","EDN1",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000168542.16","protein_coding","COL3A1",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000087245.13","protein_coding","MMP2",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000107562.17","protein_coding","CXCL12",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000164442.10","protein_coding","CITED2",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000135744.9","protein_coding","AGT",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000183287.15","protein_coding","CCBE1",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000161714.12","protein_coding","PLCD3",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000143878.10","protein_coding","RHOB",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000075223.14","protein_coding","SEMA3C",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000137801.11","protein_coding","THBS1",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000138685.17","protein_coding","FGF2",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000079385.23","protein_coding","CEACAM1",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000171951.5","protein_coding","SCG2",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000142871.18","protein_coding","CCN1",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000125378.16","protein_coding","BMP4",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000182871.16","protein_coding","COL18A1",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000116016.14","protein_coding","EPAS1",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000123342.16","protein_coding","MMP19",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000100345.23","protein_coding","MYH9",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000138639.18","protein_coding","ARHGAP24",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000130635.16","protein_coding","COL5A1",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000154096.14","protein_coding","THY1",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000140945.17","protein_coding","CDH13",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000150630.4","protein_coding","VEGFC",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000182492.16","protein_coding","BGN",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000182585.10","protein_coding","EPGN",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000177606.8","protein_coding","JUN",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000112715.26","protein_coding","VEGFA",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000148053.18","protein_coding","NTRK2",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000164692.19","protein_coding","COL1A2",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000108821.14","protein_coding","COL1A1",NA
"IPRES_Hugo","DTPP_BLOOD_VESS_DEVEL_UP","ENSG00000122861.16","protein_coding","PLAU",NA
