"","signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"1","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000282608.2","protein_coding","ADORA3",NA
"2","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000197461.13","protein_coding","PDGFA",NA
"3","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000137462.9","protein_coding","TLR2",NA
"4","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000163485.17","protein_coding","ADORA1",NA
"5","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000105329.11","protein_coding","TGFB1",NA
"6","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000136634.7","protein_coding","IL10",NA
"7","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000123146.20","protein_coding","ADGRE5",NA
"8","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000213694.6","protein_coding","S1PR3",NA
"9","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000233276.8","protein_coding","GPX1",NA
"10","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000091106.19","protein_coding","NLRC4",NA
"11","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000172936.16","protein_coding","MYD88",NA
"12","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000276085.1","protein_coding","CCL3L1",NA
"13","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000196136.18","protein_coding","SERPINA3",NA
"14","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000175040.6","protein_coding","CHST2",NA
"15","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000136854.24","protein_coding","STXBP1",NA
"16","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000276070.5","protein_coding","CCL4L2",NA
"17","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000149131.17","protein_coding","SERPING1",NA
"18","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000101017.15","protein_coding","CD40",NA
"19","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000069482.7","protein_coding","GAL",NA
"20","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000011422.12","protein_coding","PLAUR",NA
"21","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000176919.13","protein_coding","C8G",NA
"22","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000148926.10","protein_coding","ADM",NA
"23","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000164733.22","protein_coding","CTSB",NA
"24","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000155659.15","protein_coding","VSIG4",NA
"25","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000117215.15","protein_coding","PLA2G2D",NA
"26","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000169902.15","protein_coding","TPST1",NA
"27","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000115486.13","protein_coding","GGCX",NA
"28","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000091513.16","protein_coding","TF",NA
"29","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000108691.10","protein_coding","CCL2",NA
"30","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000185924.7","protein_coding","RTN4RL1",NA
"31","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000128271.22","protein_coding","ADORA2A",NA
"32","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000108700.5","protein_coding","CCL8",NA
"33","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000159403.18","protein_coding","C1R",NA
"34","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000259207.9","protein_coding","ITGB3",NA
"35","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000171049.9","protein_coding","FPR2",NA
"36","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000100234.12","protein_coding","TIMP3",NA
"37","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000186827.11","protein_coding","TNFRSF4",NA
"38","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000108688.11","protein_coding","CCL7",NA
"39","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000067182.8","protein_coding","TNFRSF1A",NA
"40","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000018280.17","protein_coding","SLC11A1",NA
"41","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000028137.19","protein_coding","TNFRSF1B",NA
"42","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000203618.6","protein_coding","GP1BB",NA
"43","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000243646.11","protein_coding","IL10RB",NA
"44","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000136238.19","protein_coding","RAC1",NA
"45","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000169432.19","protein_coding","SCN9A",NA
"46","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000108515.18","protein_coding","ENO3",NA
"47","IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000166278.16","protein_coding","C2",NA
